momentum_MeV_c,pion_GFRP_MeV,pion_Kapton_MeV,pion_Mylar_MeV,pion_LH2 (to center)_MeV,pion_total_MeV,pion_exit_momentum_MeV_c,pion_momentum_loss_MeV_c,kaon_GFRP_MeV,kaon_Kapton_MeV,kaon_Mylar_MeV,kaon_LH2 (to center)_MeV,kaon_total_MeV,kaon_exit_momentum_MeV_c,kaon_momentum_loss_MeV_c,proton_GFRP_MeV,proton_Kapton_MeV,proton_Mylar_MeV,proton_LH2 (to center)_MeV,proton_total_MeV,proton_exit_momentum_MeV_c,proton_momentum_loss_MeV_c
300.000000,0.528749,0.069088,0.027693,1.074508,1.700038,298.123937,1.876063,1.298328,0.171638,0.068887,2.778467,4.317320,291.599998,8.400002,3.317679,0.453706,0.183094,8.123106,12.077585,257.587729,42.412271
350.000000,0.517257,0.067539,0.027070,1.047117,1.658983,348.213348,1.786652,1.076663,0.141832,0.056896,2.273303,3.548695,343.827787,6.172213,2.593085,0.348565,0.140246,5.921048,9.002944,323.341126,26.658874
400.000000,0.512244,0.066847,0.026792,1.033707,1.639590,398.263056,1.736944,0.930511,0.122329,0.049060,1.948695,3.050595,395.136290,4.863710,2.115918,0.281943,0.113280,4.674362,7.185503,381.305031,18.694969
450.000000,0.510808,0.066628,0.026704,1.028063,1.632203,448.290807,1.709193,0.829341,0.108884,0.043661,1.727117,2.709003,445.968764,4.031236,1.782519,0.236326,0.094880,3.864594,5.978319,435.997278,14.002722
500.000000,0.511435,0.066684,0.026725,1.026956,1.631800,498.305609,1.694391,0.756696,0.099254,0.039795,1.569272,2.465017,496.529946,3.470054,1.539555,0.203472,0.081652,3.298247,5.122926,489.012318,10.987682
550.000000,0.513287,0.066902,0.026812,1.028587,1.635588,548.312413,1.687587,0.703032,0.092150,0.036944,1.453168,2.285293,546.925280,3.074720,1.356741,0.178932,0.071784,2.882816,4.490272,541.066541,8.933459
600.000000,0.515871,0.067219,0.026939,1.031905,1.641933,598.314107,1.685893,0.662485,0.086786,0.034792,1.365610,2.149674,597.213581,2.786419,1.215659,0.160085,0.064211,2.567556,4.007511,592.528172,7.471828
650.000000,0.518891,0.067594,0.027089,1.036266,1.649840,648.312458,1.687542,0.631290,0.082661,0.033137,1.298256,2.045344,647.429747,2.570253,1.104511,0.145287,0.058267,2.322058,3.630122,643.604026,6.395974
700.000000,0.522161,0.068003,0.027252,1.041268,1.658685,698.308588,1.691412,0.606937,0.079441,0.031845,1.245601,1.963825,697.595541,2.404459,1.015429,0.133455,0.053516,2.126926,3.329326,694.417976,5.582024
750.000000,0.525563,0.068431,0.027424,1.046650,1.668067,748.303231,1.696769,0.587699,0.076896,0.030824,1.203895,1.899315,747.725106,2.274894,0.942989,0.123849,0.049661,1.969206,3.085704,745.047982,4.952018
800.000000,0.529019,0.068867,0.027598,1.052240,1.677723,798.296882,1.703118,0.572357,0.074865,0.030010,1.170503,1.847736,797.827952,2.172048,0.883344,0.115951,0.046491,1.839925,2.885710,795.545104,4.454896
850.000000,0.532480,0.069304,0.027773,1.057924,1.687481,848.289876,1.710124,0.560029,0.073232,0.029355,1.143534,1.806151,847.910669,2.089331,0.833703,0.109383,0.043856,1.732685,2.719626,845.943906,4.056094
900.000000,0.535913,0.069739,0.027947,1.063626,1.697225,898.282449,1.717551,0.550068,0.071911,0.028825,1.121598,1.772402,897.977936,2.022064,0.791999,0.103869,0.041644,1.642808,2.580319,896.268444,3.731556
950.000000,0.539297,0.070168,0.028119,1.069294,1.706877,948.274767,1.725233,0.541986,0.070838,0.028394,1.103658,1.744876,948.033155,1.966845,0.756672,0.099201,0.039771,1.566806,2.462450,946.535874,3.464126
1000.000000,0.542617,0.070589,0.028287,1.074894,1.716388,998.266947,1.733053,0.535414,0.069964,0.028043,1.088925,1.722346,998.078842,1.921158,0.726530,0.095220,0.038174,1.502029,2.361953,996.758685,3.241315
