#pK pK_min pK_max Entry
724 723 725 602.173
726 725 727 1142.79
728 727 729 1624.18
730 729 731 2019.47
732 731 733 2363.23
734 733 735 2737.09
736 735 737 3065.21
738 737 739 3317.24
740 739 741 3528.95
742 741 743 3589.46
744 743 745 3417.2
746 745 747 3050.57
748 747 749 2579.61
750 749 751 2142.31
752 751 753 1831.66
754 753 755 1616.28
756 755 757 1463.15
758 757 759 1315.12
760 759 761 1109.02
762 761 763 907.258
764 763 765 769.642
766 765 767 632.907
768 767 769 465.232
770 769 771 328.565
