#pK pK_min pK_max Luminosity
724 723 725 7947.18
726 725 727 8146.62
728 727 729 8134.53
730 729 731 8004.6
732 731 733 7829.33
734 733 735 7735.66
736 735 737 7814.23
738 737 739 7977.4
740 739 741 8049.92
742 741 743 7907.9
744 743 745 7490.9
746 745 747 6832.16
748 747 749 6058.59
750 749 751 5299.83
752 751 753 4633.54
754 753 755 4101.71
756 755 757 3717.35
758 757 759 3427.86
760 759 761 3146.84
762 761 763 2823.21
764 763 765 2435.83
766 765 767 2014.29
768 767 769 1633.25
770 769 771 1345.58
