# K-Beam totals distributed over actual K- momentum using beam_simul profiles.
# 735 MeV/c profile: beam_profile_run02270_-735.root
# momentum_low_GeV momentum_high_GeV momentum_center_GeV K-Beam_total K-BeamxDAQ-Eff_total
  0.500000   0.504000   0.502000         0.000000         0.000000
  0.504000   0.508000   0.506000         0.000000         0.000000
  0.508000   0.512000   0.510000         0.000000         0.000000
  0.512000   0.516000   0.514000         0.000000         0.000000
  0.516000   0.520000   0.518000         0.000000         0.000000
  0.520000   0.524000   0.522000         0.000000         0.000000
  0.524000   0.528000   0.526000         0.000000         0.000000
  0.528000   0.532000   0.530000         0.000000         0.000000
  0.532000   0.536000   0.534000         0.000000         0.000000
  0.536000   0.540000   0.538000         0.000000         0.000000
  0.540000   0.544000   0.542000         0.000000         0.000000
  0.544000   0.548000   0.546000         0.000000         0.000000
  0.548000   0.552000   0.550000         0.000000         0.000000
  0.552000   0.556000   0.554000         0.000000         0.000000
  0.556000   0.560000   0.558000         0.000000         0.000000
  0.560000   0.564000   0.562000         0.000000         0.000000
  0.564000   0.568000   0.566000         0.000000         0.000000
  0.568000   0.572000   0.570000         0.000000         0.000000
  0.572000   0.576000   0.574000         0.000000         0.000000
  0.576000   0.580000   0.578000     15226.972854     13101.548561
  0.580000   0.584000   0.582000      3806.743214      3275.387140
  0.584000   0.588000   0.586000      3806.743214      3275.387140
  0.588000   0.592000   0.590000      5710.114820      4913.080710
  0.592000   0.596000   0.594000     25556.337038     21934.325025
  0.596000   0.600000   0.598000      7761.214818      6667.921301
  0.600000   0.604000   0.602000      7761.214818      6667.921301
  0.604000   0.608000   0.606000     11494.093836      9884.734931
  0.608000   0.612000   0.610000     57159.254499     47741.177040
  0.612000   0.616000   0.614000     39048.171087     32877.903156
  0.616000   0.620000   0.618000     18898.521639     16009.053286
  0.620000   0.624000   0.622000     55136.446363     47183.804629
  0.624000   0.628000   0.626000    574830.759216    494332.722785
  0.628000   0.632000   0.630000   3541278.607495   3046582.070889
  0.632000   0.636000   0.634000   7615697.789558   6552395.532734
  0.636000   0.640000   0.638000  10180791.822231   8752096.514124
  0.640000   0.644000   0.642000  11387474.190723   9795743.526056
  0.644000   0.648000   0.646000  11920827.848195  10252826.258695
  0.648000   0.652000   0.650000  14427024.066222  12399151.963628
  0.652000   0.656000   0.654000  16324524.998928  14020063.980283
  0.656000   0.660000   0.658000  15860378.576600  13574116.351745
  0.660000   0.664000   0.662000  14927887.071954  12793593.426573
  0.664000   0.668000   0.666000  16050722.027537  13652491.478175
  0.668000   0.672000   0.670000  23070327.898845  19329961.349096
  0.672000   0.676000   0.674000  29616874.733137  24517981.398751
  0.676000   0.680000   0.678000  31222309.244772  25670021.737687
  0.680000   0.684000   0.682000  31110601.681931  25463960.058829
  0.684000   0.688000   0.686000  29355299.827629  23983104.885155
  0.688000   0.692000   0.690000  26661497.604391  21764184.775232
  0.692000   0.696000   0.694000  24729019.858087  20193188.671791
  0.696000   0.700000   0.698000  38032231.683652  31099940.716894
