# E72Physics physics runs only; source run lists: /home/had/haein/work/e72/ana/e72/runmanager/runlist/tpc_runinfo
# K-beam normalization: scaler K-Beam; DAQ-Eff is K-Beam weighted.
# TRIG-D is retained only as a diagnostic scaler counter.
# rows are globally sorted by run number.
# momentum_mev run nKbeam_K-Beam TRIG-D DAQ-Eff K-BeamxDAQ-Eff run_list
  735  2263      5332019     61344896  0.774428 4129264.810132 E72Physics_735_1.txt
  735  2264      2652702     30521286  0.769639 2041622.914578 E72Physics_735_1.txt
  735  2266       178770      2053958  0.928411  165972.034470 E72Physics_735_1.txt
  735  2267     12358862    142230287  0.780081 9640913.427822 E72Physics_735_1.txt
  735  2268     18252528    210055807  0.787595 14375599.790160 E72Physics_735_1.txt
  735  2269        17898       208226  0.400844    7174.305912 E72Physics_735_1.txt
  735  2270     11960278    137520803  0.792699 9480900.410322 E72Physics_735_1.txt
  735  2271      7496698     95912114  0.764477 5731053.196946 E72Physics_735_1.txt
  735  2272     12118632    155902436  0.767942 9306406.495344 E72Physics_735_1.txt
  735  2274       111940      1522287  0.640041   71646.189540 E72Physics_735_1.txt
  735  2275     12395984    168173786  0.749625 9292339.506000 E72Physics_735_1.txt
  735  2276     11233239    152389341  0.750815 8434084.339785 E72Physics_735_1.txt
  735  2278      3382120     45864154  0.758514 2565385.369680 E72Physics_735_1.txt
  735  2279     14980258    203187015  0.750159 11237575.361022 E72Physics_735_1.txt
  735  2280     24829821    336513142  0.751341 18655662.539961 E72Physics_735_1.txt
  735  2281     17865205    242041287  0.744009 13291873.306845 E72Physics_735_1.txt
  735  2282     13998406    189605503  0.754967 10568334.582602 E72Physics_735_1.txt
  735  2283     17988321    243634765  0.755482 13589852.725722 E72Physics_735_1.txt
  735  2284     11711579    158373718  0.753954 8829991.833366 E72Physics_735_1.txt
  735  2285           -1           -1 -1.000000      -1.000000 E72Physics_735_1.txt
  735  2286           -1           -1 -1.000000      -1.000000 E72Physics_735_1.txt
  735  2287           -1           -1 -1.000000      -1.000000 E72Physics_735_1.txt
  735  2290     20957377    284622820  0.785294 16457702.413838 E72Physics_735_2.txt
  735  2291     15133991    205464681  0.782290 11839169.819390 E72Physics_735_2.txt
